src	answer	options	category	question	cot_content	question_id	answer_index	total_tokens	meta_cluster	base_cluster	entropy_ans_correct_qwen2	entropy_value_qwen2	entropy_ans_qwen2	norm_entropy
stemez-Business	F	['$57.99', '$60.35', '$58.65', '$59.50', '$57.50', '$56.86', '$54.00', '$58.12', '$55.65', '$55.17']	business	Paul purchased an item for **$56.30** with an additional **3% sales tax**, agreeing to payment terms of **(2/10, n/30)**. If he made the payment **7 days after** the purchase date, what was the total amount he paid?		737	5	94	Economics & Finance MCQs	Business Finance Questions	False	0.3519565165042877	8	0.157638495264692
stemez-Business	F	['$57.99', '$60.35', '$58.65', '$59.50', '$57.50', '$56.86', '$54.00', '$58.12', '$55.65', '$55.17']	business	What was the total amount Paul paid to the sporting goods store one week after the purchase, given that he owed $56.30 plus a 3% sales tax and the payment terms were (2/10), (n/30)?		737	5	94	Economics & Finance MCQs	Business Finance Questions	False	0.3519565165042877	8	0.157638495264692
stemez-Physics	A	['25,000 ergs', '60,000 ergs', '10,000 ergs', '45,000 ergs', '40,000 ergs', '30,000 ergs', '35,000 ergs', '50,000 ergs', '20,000 ergs', '15,000 ergs']	physics	A 20-gram particle starts from rest. When a constant force of 100 dynes acts on it for 10 seconds, what is the resulting kinetic energy gained by the particle in ergs?		9623	0	101	Scientific Calculations	Wavelength & Energy Calculations	False	1.5244499444961548	5	0.6827888789886619
stemez-Physics	A	['25,000 ergs', '60,000 ergs', '10,000 ergs', '45,000 ergs', '40,000 ergs', '30,000 ergs', '35,000 ergs', '50,000 ergs', '20,000 ergs', '15,000 ergs']	physics	A 20-gram particle starts from rest. When a constant 100-dyne force acts on it for 10 seconds, how much kinetic energy does it gain in ergs?		9623	0	101	Scientific Calculations	Wavelength & Energy Calculations	False	1.5244499444961548	5	0.6827888789886619
ori_mmlu-high_school_government_and_politics	I	['The amount of coverage the issue receives in the major news media', 'The number of social media posts about the issue', 'The geographical area impacted by the issue', 'The length of time the issue has been present', 'The number of politicians who have publicly spoken about the issue', 'The number of protests organized around the issue', 'The amount of funding allocated to the issue by the government', 'The degree to which public opinion on the issue is likely to shift quickly', 'The importance of the issue to a particular individual or group', 'The number of people affected by the issue']	other	What is the most accurate definition of the **salience** of a political issue from the following options?		5498	8	126	Historical Trivia	US History Questions	False	0.6555711627006531	8	0.2936250553150265
ori_mmlu-high_school_physics	C	"[""The force of the horse's muscles directly on the cart provides the necessary acceleration."", 'The upward normal force of the ground on the horse is greater than the horse’s weight, providing an upward acceleration.', 'The forward static friction force of the ground on the horse is greater than any friction forces acting backward on the cart, providing a forward acceleration.', 'The forward dynamic friction force of the ground on the horse is greater than any friction forces acting backward on the cart, providing a forward acceleration.', 'The upward normal force of the ground on the cart is greater than the cart’s weight, providing an upward acceleration.', 'The backward force of the cart on the horse is greater than the forward force of the horse on the cart, providing a backward acceleration.', 'The force of the horse’s muscles on the rest of the horse-cart system provides the necessary acceleration.', 'The net force on the horse-cart system is zero, so no acceleration occurs.', 'The forward force of the horse on the cart is greater than the backward force of the cart on the horse, providing a forward acceleration.', 'The downward gravitational force on the cart is greater than the upward normal force of the ground on the cart, providing a downward acceleration.']"	physics	How does the horse-cart system initially at rest achieve forward acceleration, and which force(s) is/are primarily responsible?		9924	2	277	Biology Questions	Chemistry & Biology Reactions	False	0.3899410665035248	9	0.174651469948777
ori_mmlu-high_school_physics	C	"[""The force of the horse's muscles directly on the cart provides the necessary acceleration."", 'The upward normal force of the ground on the horse is greater than the horse’s weight, providing an upward acceleration.', 'The forward static friction force of the ground on the horse is greater than any friction forces acting backward on the cart, providing a forward acceleration.', 'The forward dynamic friction force of the ground on the horse is greater than any friction forces acting backward on the cart, providing a forward acceleration.', 'The upward normal force of the ground on the cart is greater than the cart’s weight, providing an upward acceleration.', 'The backward force of the cart on the horse is greater than the forward force of the horse on the cart, providing a backward acceleration.', 'The force of the horse’s muscles on the rest of the horse-cart system provides the necessary acceleration.', 'The net force on the horse-cart system is zero, so no acceleration occurs.', 'The forward force of the horse on the cart is greater than the backward force of the cart on the horse, providing a forward acceleration.', 'The downward gravitational force on the cart is greater than the upward normal force of the ground on the cart, providing a downward acceleration.']"	physics	How does the horse-cart system initially at rest achieve forward acceleration when the horse begins to move? Select the most accurate explanation from the following options:		9924	2	277	Biology Questions	Chemistry & Biology Reactions	False	0.3899410665035248	9	0.174651469948777
ori_mmlu-prehistory	E	['tactical collecting.', 'symbolic foraging.', 'systematic hunting.', 'resource planning.', 'logistical collecting.', 'seasonal gathering.', 'opportunistic foraging.', 'mobiliary collecting.', 'strategic foraging.', 'periodic acquisition.']	history	What term describes a subsistence and settlement approach characterized by the intentional, seasonal scheduling of resource procurement?		4871	4	71	Historical Trivia	Ancient Civilizations	False	1.1695549488067627	6	0.5238342625118746
ori_mmlu-prehistory	E	['tactical collecting.', 'symbolic foraging.', 'systematic hunting.', 'resource planning.', 'logistical collecting.', 'seasonal gathering.', 'opportunistic foraging.', 'mobiliary collecting.', 'strategic foraging.', 'periodic acquisition.']	history	What term describes a subsistence and settlement approach characterized by the intentional, seasonal scheduling of resource procurement?		4871	4	71	Historical Trivia	Ancient Civilizations	False	1.1695549488067627	6	0.5238342625118746
ori_mmlu-professional_law	J	"[""No, the accident was caused by a worker's mistake, not a lack of warning signs or barriers."", 'No, because the plaintiff in effect became a trespasser when he walked into a dangerous loading/unloading area.', 'Yes, the appliance store has a duty of care to ensure the safety of pedestrians around their loading/unloading area.', 'Yes, the appliance store was negligent in not having the proper warning signs or barriers to prevent such accidents.', ""Yes, the store's negligence in operating their loading dock caused a dangerous situation that led to the pedestrian's injury."", 'No, because the pedestrian was beyond the immediate danger area and the store could not have predicted the box falling from a separate truck.', 'No, the plaintiff clearly assumed the risk by entering a dangerous loading/unloading area.', 'Yes, because the plaintiff pedestrian had a right to be where he was and there were no signs telling him otherwise.', ""No, the accident was a result of a series of unforeseeable events and not directly due to the store's actions."", 'Yes, because the chain of causation was generally foreseeable in that it was a logical consequence of a truckload of appliances falling violently onto the road.']"	law	In a negligence lawsuit, a pedestrian was injured when a heavy box fell from a parked truck 30 yards away after a tremor caused by refrigerators crashing from an appliance store’s unloading dock. The store argues that the injury was unforeseeable and that the tremor and falling box were superseding causes. Which of the following best explains why the pedestrian’s lawsuit will likely **not** be dismissed?		1677	9	408	Legal & Moral Implications	Legal Scenarios	False	1.1982098817825315	3	0.5366685767080596
ori_mmlu-professional_law	J	"[""No, the accident was caused by a worker's mistake, not a lack of warning signs or barriers."", 'No, because the plaintiff in effect became a trespasser when he walked into a dangerous loading/unloading area.', 'Yes, the appliance store has a duty of care to ensure the safety of pedestrians around their loading/unloading area.', 'Yes, the appliance store was negligent in not having the proper warning signs or barriers to prevent such accidents.', ""Yes, the store's negligence in operating their loading dock caused a dangerous situation that led to the pedestrian's injury."", 'No, because the pedestrian was beyond the immediate danger area and the store could not have predicted the box falling from a separate truck.', 'No, the plaintiff clearly assumed the risk by entering a dangerous loading/unloading area.', 'Yes, because the plaintiff pedestrian had a right to be where he was and there were no signs telling him otherwise.', ""No, the accident was a result of a series of unforeseeable events and not directly due to the store's actions."", 'Yes, because the chain of causation was generally foreseeable in that it was a logical consequence of a truckload of appliances falling violently onto the road.']"	law	A pedestrian was injured when a heavy box fell from a parked truck 30 yards away after a tremor caused by refrigerators crashing from an appliance store’s unloading dock, where no warnings or barriers were posted. The store argues that the accident was unforeseeable and that the tremor and falling box were superseding causes. If the pedestrian sues for negligence, will their lawsuit likely survive the store’s motion to dismiss?		1677	9	408	Legal & Moral Implications	Legal Scenarios	False	1.1982098817825315	3	0.5366685767080596
ori_mmlu-professional_medicine	A	['hypotonic uterine dysfunction', 'lower uterine retraction ring', 'cervical insufficiency', 'Braxton Hicks contractions', 'placental abruption', 'secondary dysfunctional labor', 'uterine hyperstimulation', 'premature rupture of membranes', 'primary dysfunctional labor', 'cephalopelvic disproportion']	health	A 25-year-old woman, currently pregnant for the third time (with two prior deliveries), is hospitalized at 39 weeks due to active labor that has now slowed significantly. Initially, contractions were strong and regular (every 4 minutes), but they have since become irregular and weak. She has received pain medication twice in the last 6 hours. On examination, there is no evidence of obstruction, the fetal head is engaged, membranes remain intact, fetal heart rate is normal, and the cervix is fully effaced with 7 cm dilation. Which of the following best explains this clinical scenario?		6608	0	186	Miscellaneous	Viruses and Diseases	False	0.6581792831420898	9	0.2947932115007415
ori_mmlu-professional_medicine	A	['hypotonic uterine dysfunction', 'lower uterine retraction ring', 'cervical insufficiency', 'Braxton Hicks contractions', 'placental abruption', 'secondary dysfunctional labor', 'uterine hyperstimulation', 'premature rupture of membranes', 'primary dysfunctional labor', 'cephalopelvic disproportion']	health	A 25-year-old woman, currently pregnant for the third time (with two prior deliveries), is hospitalized at 39 weeks due to active labor that has now slowed significantly. Initially, contractions were consistent every 4 minutes, but they have since become irregular and weak. She has received pain medication twice in the last 6 hours. On assessment, there is no evidence of obstruction, the fetal head is engaged, membranes remain intact, fetal heart rate is normal, and the cervix is fully effaced at 7 cm dilation. Which of the following best explains this clinical scenario?		6608	0	186	Miscellaneous	Viruses and Diseases	False	0.6581792831420898	9	0.2947932115007415
ori_mmlu-high_school_microeconomics	D	['goods X and Y are independent goods.', 'goods X and Y are Giffen goods.', 'goods X and Y are luxury goods.', 'goods X and Y are substitute goods.', 'goods X and Y are Veblen goods.', 'goods X and Y are normal goods.', 'goods X and Y are inferior goods.', 'goods X and Y are perfect substitutes.', 'the demand for good X is unit elastic with respect to the price of good Y.', 'goods X and Y are complementary goods.']	economics	What does a cross-price elasticity of +2.0 between goods X and Y indicate about their relationship?		7236	3	127	Economics & Finance MCQs	Economic Concepts & Policies	False	0.2599228322505951	9	0.116417347710684
ori_mmlu-high_school_microeconomics	D	['goods X and Y are independent goods.', 'goods X and Y are Giffen goods.', 'goods X and Y are luxury goods.', 'goods X and Y are substitute goods.', 'goods X and Y are Veblen goods.', 'goods X and Y are normal goods.', 'goods X and Y are inferior goods.', 'goods X and Y are perfect substitutes.', 'the demand for good X is unit elastic with respect to the price of good Y.', 'goods X and Y are complementary goods.']	economics	What does a cross-price elasticity of +2.0 between goods X and Y indicate about their relationship?		7236	3	127	Economics & Finance MCQs	Economic Concepts & Policies	False	0.2599228322505951	9	0.116417347710684
ori_mmlu-professional_medicine	E	['Sodium pyrophosphate', 'Sodium urate', 'Aluminum urate', 'Magnesium pyrophosphate', 'Calcium pyrophosphate', 'Potassium oxalate', 'Calcium urate', 'Ammonium urate', 'Calcium oxalate', 'Calcium sulfate']	health	A 63-year-old female presents with acute, non-traumatic right knee pain, swelling, warmth, erythema, and effusion, with severe tenderness on minimal motion. Synovial fluid analysis reveals clear fluid with **positively birefringent rhombic crystals** under polarized microscopy. Which of the following crystalline deposits is most responsible for her clinical presentation?		6450	4	220	Miscellaneous	Viruses and Diseases	True	0.0629126727581024	5	0.0281780805344072
ori_mmlu-professional_medicine	E	['Sodium pyrophosphate', 'Sodium urate', 'Aluminum urate', 'Magnesium pyrophosphate', 'Calcium pyrophosphate', 'Potassium oxalate', 'Calcium urate', 'Ammonium urate', 'Calcium oxalate', 'Calcium sulfate']	health	A 63-year-old female presents with acute, non-traumatic right knee pain, swelling, warmth, and effusion. She has a history of mild osteoarthritis managed with occasional ibuprofen. On exam, the knee shows erythema, marked tenderness with minimal movement, and synovial fluid analysis reveals clear fluid with **positively birefringent rhombic crystals** under polarized microscopy. Which of the following crystalline deposits is most responsible for her clinical presentation?		6450	4	220	Miscellaneous	Viruses and Diseases	True	0.0629126727581024	5	0.0281780805344072
ori_mmlu-college_chemistry	B	['420 ns', '4.2 ns', '8.4 ps', '840 ns', '42 ns', '840 ps', '84 ns', '84 ps', '420 ps', '8.4 ns']	chemistry	Estimate the rotational correlation time (τ₍c₎) for a small protein with a relative molecular mass of 8,400 in water at 298 K, given that a smaller molecule (Mr = 100) under the same conditions has τ₍c₎ = 50 ps and assuming molecular mass scales proportionally with volume. Use the Stokes relation for spherical objects.		4086	1	125	Biology Questions	Chemistry & Biology Reactions	False	0.1764664947986602	9	0.0790379248578467
ori_mmlu-college_chemistry	B	['420 ns', '4.2 ns', '8.4 ps', '840 ns', '42 ns', '840 ps', '84 ns', '84 ps', '420 ps', '8.4 ns']	chemistry	A small molecule with a relative molecular mass of 100 in water at 298 K exhibits a rotational correlation time (τc) of 50 ps. If the rotational correlation time follows the Stokes equation (τc = 4πηr³/3kBT) and molecular mass is proportional to volume, what would be the estimated τc for a small protein with a relative molecular mass of 8,400?		4086	1	125	Biology Questions	Chemistry & Biology Reactions	False	0.1764664947986602	9	0.0790379248578467
stemez-Physics	E	['.720 cal/g°C', '.590 cal/g°C', '.680 cal/g°C', '.750 cal/g°C', '.598 cal/g°C', '.510 cal/g°C', '.450 cal/g°C', '.560 cal/g°C', '.620 cal/g°C', '.655 cal/g°C']	physics	When 500 grams of alcohol at 75°C is mixed with 500 grams of water at 30°C in a 300-gram glass container (with a specific heat of 0.14 cal/g°C), the final equilibrium temperature is 46°C. What is the specific heat capacity of the alcohol? Select the correct value from the provided options.		9392	4	113	Scientific Calculations	Chemistry Calculations	True	1.759668231010437	5	0.7881412592006616
stemez-Physics	E	['.720 cal/g°C', '.590 cal/g°C', '.680 cal/g°C', '.750 cal/g°C', '.598 cal/g°C', '.510 cal/g°C', '.450 cal/g°C', '.560 cal/g°C', '.620 cal/g°C', '.655 cal/g°C']	physics	When 500 grams of alcohol initially at 75°C is mixed with 500 grams of water at 30°C in a 300-gram glass container (specific heat of glass = 0.14 cal/g°C), the final equilibrium temperature is 46°C. **Determine the specific heat capacity of the alcohol.** Select the correct value from the provided options.		9392	4	113	Scientific Calculations	Chemistry Calculations	True	1.759668231010437	5	0.7881412592006616
stemez-MachineDesign	B	['0.21 degree', '0.31 degree', '0.36 degree', '0.71 degree', '0.45 degree', '0.26 degree', '0.55 degree', '0.51 degree', '0.61 degree', '0.41 degree']	engineering	Determine the angular twist (in degrees) between two pulleys spaced 18 inches apart on a 2.5-inch-diameter shaft transmitting 30 hp at 150 rpm, given the material's shear modulus of elasticity is **11 × 10⁶ psi**.		12172	1	126	Engineering Calculations	Mechanical Engineering Calculations	False	1.1729838848114014	9	0.5253700553919123
stemez-MachineDesign	B	['0.21 degree', '0.31 degree', '0.36 degree', '0.71 degree', '0.45 degree', '0.26 degree', '0.55 degree', '0.51 degree', '0.61 degree', '0.41 degree']	engineering	Determine the angular twist (in degrees) between two pulleys spaced 18 inches apart on a 2.5-inch-diameter shaft transmitting 30 hp at 150 rpm, given the material's shear modulus of elasticity is **11 × 10⁶ psi**.		12172	1	126	Engineering Calculations	Mechanical Engineering Calculations	False	1.1729838848114014	9	0.5253700553919123
scibench-fund	F	['$0.75 \mu C$', '$0.41 \mu C$', '$0.47$$\mu C$', '$0.50 \mu C$', '$0.87 \mu C$', ' $0.32$$\mu C$ ', '$0.19$$\mu C$', '$0.26 \mu C$', '$0.58$$\mu C$', '$0.65 \mu C$']	physics	A cylindrical drum in a photocopier measures **42 cm in length** and **12 cm in diameter**. If the electric field strength immediately above its surface is **2.3 × 10⁵ N/C**, what is the **total surface charge** on the drum? Select the correct value from the provided options.		10001	5	168	Scientific Calculations	Chemical Calculations	False	1.4115798473358154	5	0.6322352695443579
scibench-fund	F	['$0.75 \mu C$', '$0.41 \mu C$', '$0.47$$\mu C$', '$0.50 \mu C$', '$0.87 \mu C$', ' $0.32$$\mu C$ ', '$0.19$$\mu C$', '$0.26 \mu C$', '$0.58$$\mu C$', '$0.65 \mu C$']	physics	A cylindrical drum in a photocopier measures **42 cm in length** and **12 cm in diameter**. If the electric field strength immediately above its surface is **2.3 × 10⁵ N/C**, what is the **total surface charge** on the drum? Select the correct value from the given options.		10001	5	168	Scientific Calculations	Chemical Calculations	False	1.4115798473358154	5	0.6322352695443579
stemez-Biology	H	['The pterosaurs', 'The anapsids', 'The cotylosaurs', 'The sauropods', 'The ichthyosaurs', 'The amphibians', 'The therapsids', 'The labyrinthodonts', 'The synapsids', 'The reptiles']	biology	Which early vertebrate is considered the first four-limbed (tetrapod) land animal, and what lineage did it directly lead to?		2903	7	93	Miscellaneous	Genetics & Biology	True	0.1225326582789421	8	0.0548813929167293
stemez-Biology	H	['The pterosaurs', 'The anapsids', 'The cotylosaurs', 'The sauropods', 'The ichthyosaurs', 'The amphibians', 'The therapsids', 'The labyrinthodonts', 'The synapsids', 'The reptiles']	biology	Which early vertebrate is considered the first member of the **Tetrapoda** superclass, and what lineage did it directly lead to?		2903	7	93	Miscellaneous	Genetics & Biology	True	0.1225326582789421	8	0.0548813929167293
ori_mmlu-professional_law	F	"['not prevail, because the security guard was acting in the course of his duties.', 'prevail, because the burglar was unarmed when he was shot.', 'prevail, because the security guard acted without proper authorization.', 'prevail, because the security guard used excessive force.', 'not prevail, because the owner was not present when the shooting occurred.', 'not prevail, because the owner had discontinued protection services from the company when the shooting occurred.', 'prevail, because the owner knew or had reason to know that the company provided an ""armed response"" to suspected trespassers.', 'not prevail, because the owner had no control over the actions of the security guard.', 'prevail, because the owner did not properly inform the company of the discontinued services.', 'not prevail, because the burglar was trespassing on private property.']"	law	If the burglar sues the summer cottage owner for negligence in overseeing the security personnel assigned to his property, which of the following best describes the likely outcome of the claim?		1735	5	495	Legal & Moral Implications	Legal Scenarios	False	1.1101185083389282	1	0.4972131584837446
ori_mmlu-college_mathematics	G	['9', '4', '3', '2', '10', '6', '5', '8', '1', '7']	math	In the vector space **V** of real polynomials with degree no greater than 3 (under standard operations), let **W** be the subspace consisting of all polynomials **p(x)** in **V** that satisfy **p(0) = p(1) = p(-1) = 0**. What is the value of **dim V + dim W**?		8475	6	88	CS Subfield Queries	Abstract Algebra Questions	False	0.6129569411277771	3	0.2745384879391885
ori_mmlu-college_mathematics	G	['9', '4', '3', '2', '10', '6', '5', '8', '1', '7']	math	In the vector space of real polynomials with degree no greater than 3 (under standard operations), let **W** be the subspace consisting of all polynomials **p(x)** that satisfy **p(0) = p(1) = p(-1) = 0**. What is the value of **dim V + dim W**?		8475	6	88	CS Subfield Queries	Abstract Algebra Questions	False	0.6129569411277771	3	0.2745384879391885
stemez-Economics	C	"['A 7 percent discount loan means the interest is reduced by 7 percent from the standard rate.', ""A 7 percent discount loan means the borrower doesn't have to pay interest."", 'A 7 percent discount loan is where the borrower receives $ 93 today and pays back $ 100 in a year.', 'A 7 percent discount loan is where the borrower receives $107 today and pays back $100 in a year.', 'A 7 percent discount loan is where the borrower receives $ 100 today and pays back $ 93 in a year.', 'A 7 percent discount loan means that the lender discounts the total repayable amount by 7 percent as a promotion.', 'A 7 percent discount loan is where the borrower pays 7 percent interest upfront and then repays the principal after a year.', ""A 7 percent discount loan means the borrower's repayment amount decreases by 7 percent each year."", 'A 7 percent discount loan means the borrower pays back 7 percent less than what they borrowed.', 'A 7 percent discount loan is where the borrower receives the full amount borrowed and pays back only 93 percent of it.']"	economics	How would you define a bank loan described as having a **7 percent discount** in terms of the amount received and the repayment structure?		6869	2	248	Economics & Finance MCQs	Business Finance Questions	False	0.9194055199623108	4	0.4117943436434278
stemez-Economics	C	"['A 7 percent discount loan means the interest is reduced by 7 percent from the standard rate.', ""A 7 percent discount loan means the borrower doesn't have to pay interest."", 'A 7 percent discount loan is where the borrower receives $ 93 today and pays back $ 100 in a year.', 'A 7 percent discount loan is where the borrower receives $107 today and pays back $100 in a year.', 'A 7 percent discount loan is where the borrower receives $ 100 today and pays back $ 93 in a year.', 'A 7 percent discount loan means that the lender discounts the total repayable amount by 7 percent as a promotion.', 'A 7 percent discount loan is where the borrower pays 7 percent interest upfront and then repays the principal after a year.', ""A 7 percent discount loan means the borrower's repayment amount decreases by 7 percent each year."", 'A 7 percent discount loan means the borrower pays back 7 percent less than what they borrowed.', 'A 7 percent discount loan is where the borrower receives the full amount borrowed and pays back only 93 percent of it.']"	economics	How does a bank structure a loan described as having a **7 percent discount** in terms of the amount disbursed and the repayment obligation?		6869	2	248	Economics & Finance MCQs	Business Finance Questions	False	0.9194055199623108	4	0.4117943436434278
stemez-FluidMechanics	H	['Q = (const) (μ/r^4) (dp/dx)', 'Q = (const) (r/\mu) (dp/dx)', 'Q = (const) (r^3/\mu) (dp/dx)', 'Q = (const) (r^5/μ^2) (dp/dx)', 'Q = (const) (r^2/\mu) (dp/dx)', 'Q = (const) (r^2μ^2) (dp/dx)', 'Q = (const) (r^4/μ^2) (dp/dx)', 'Q = (const) (r^4/\mu) (dp/dx)', 'Q = (const) (dp/dx)/(rμ)']	engineering	Using dimensional analysis (the power-product method), determine the correct dimensionless form of the equation for volume flux **Q** in a laminar flow through a small-bore tube, where **Q** depends on pipe radius **r**, fluid viscosity **μ**, and pressure gradient **(dp/dx)**. Select the valid expression from the given options.		12065	7	518	Engineering Calculations	Heat Transfer Problems	False	1.00540030002594	9	0.4503107145420001
stemez-Psychology	J	['Onset phase, abuse phase, dependency phase, abstinence phase', 'Prealcoholic phase, alcoholic phase, recovery phase, relapse phase', 'Initial phase, adaptive phase, dependent phase, deteriorative phase', 'Experimental phase, social use phase, intensive use phase, compulsive use phase', 'Initial phase, middle phase, crucial phase, termination phase', 'Experimental phase, regular use phase, risky use phase, dependence phase', 'Early stage, middle stage, late stage, recovery stage', 'Prodromal phase, crucial phase, chronic stage, recovery phase', 'Induction phase, maintenance phase, deterioration phase, rehabilitation phase', 'Prealcoholic phase, prodromal phase, crucial phase, chronic stage']	psychology	What are the typical stages in the development of alcoholism as described by Jellinek’s (1952) model?		2558	9	160	Psychology Behavior	Psychology Questions (1)	False	0.4223892390727997	2	0.1891847456747493
stemez-Psychology	J	['Onset phase, abuse phase, dependency phase, abstinence phase', 'Prealcoholic phase, alcoholic phase, recovery phase, relapse phase', 'Initial phase, adaptive phase, dependent phase, deteriorative phase', 'Experimental phase, social use phase, intensive use phase, compulsive use phase', 'Initial phase, middle phase, crucial phase, termination phase', 'Experimental phase, regular use phase, risky use phase, dependence phase', 'Early stage, middle stage, late stage, recovery stage', 'Prodromal phase, crucial phase, chronic stage, recovery phase', 'Induction phase, maintenance phase, deterioration phase, rehabilitation phase', 'Prealcoholic phase, prodromal phase, crucial phase, chronic stage']	psychology	What are the typical stages in the development of alcoholism as described by Jellinek’s (1952) phase-based model?		2558	9	160	Psychology Behavior	Psychology Questions (1)	False	0.4223892390727997	2	0.1891847456747493
